transaction_id,timestamp,sender_id,receiver_id,amount,merchant_category,location,device_type,upi_channel,risk_flag,risk_scenario,iqr_amount_flag
TXN005083,2026-01-01 00:00:00,USER0651,REC0086,226.91,Groceries,Hyderabad,Android,QR,0,normal,0
TXN006521,2026-01-01 00:45:00,USER0505,REC0084,926.51,Bills,Hyderabad,iOS,QR,1,late_night_payment,0
TXN008283,2026-01-01 00:53:00,USER0032,REC0014,330.89,Groceries,Chennai,Android,QR,0,normal,0
TXN002316,2026-01-01 01:07:00,USER0044,REC0439,1238.35,Groceries,Bengaluru,Android,App,0,normal,0
TXN003674,2026-01-01 01:13:00,USER0056,REC0263,2503.92,Food,Delhi,Android,QR,0,normal,1
TXN007006,2026-01-01 01:23:00,USER0162,REC0284,911.57,Bills,Bengaluru,Android,App,0,normal,0
TXN006302,2026-01-01 01:46:00,USER0513,REC0369,860.93,Food,Pune,Android,QR,0,normal,0
TXN009284,2026-01-01 02:00:00,USER0147,REC0361,310.03,Groceries,Hyderabad,iOS,QR,0,normal,0
TXN006906,2026-01-01 02:08:00,USER0153,REC0186,614.79,Shopping,Bengaluru,iOS,QR,0,normal,0
TXN005760,2026-01-01 02:08:00,USER0949,REC0157,682.0,Transfer,Bengaluru,Android,Collect Request,0,normal,0
TXN002442,2026-01-01 02:18:00,USER0445,REC0186,185.25,Bills,Pune,Android,App,0,normal,0
TXN001488,2026-01-01 02:39:00,USER0897,REC0410,441.42,Groceries,Hyderabad,Android,QR,0,normal,0
TXN002259,2026-01-01 02:41:00,USER0039,REC0485,507.83,Groceries,Hyderabad,Android,QR,0,normal,0
TXN007363,2026-01-01 02:54:00,USER0382,REC0105,529.88,Bills,Mumbai,Android,QR,0,normal,0
TXN001409,2026-01-01 03:18:00,USER0666,REC0363,287.78,Transfer,Pune,Android,QR,0,normal,0
TXN004691,2026-01-01 03:20:00,USER0728,REC0268,267.99,Food,Mumbai,Android,App,0,normal,0
TXN009106,2026-01-01 03:31:00,USER0630,REC0212,272.15,Food,Bengaluru,Android,Collect Request,0,normal,0
TXN001482,2026-01-01 03:35:00,USER0720,REC0471,140.69,Shopping,Hyderabad,Android,QR,0,normal,0
TXN001949,2026-01-01 03:35:00,USER0179,REC0215,359.48,Groceries,Delhi,iOS,QR,0,normal,0
TXN000303,2026-01-01 03:46:00,USER0146,REC0393,251.83,Food,Bengaluru,Android,App,1,late_night_payment,0
TXN007754,2026-01-01 04:10:00,USER0880,REC0086,431.09,Food,Hyderabad,Android,QR,0,normal,0
TXN008838,2026-01-01 04:49:00,USER0528,REC0207,793.44,Transfer,Pune,iOS,App,0,normal,0
TXN001996,2026-01-01 04:59:00,USER0816,REC0382,523.54,Shopping,Delhi,iOS,QR,0,normal,0
TXN006741,2026-01-01 05:09:00,USER0333,REC0326,402.46,Groceries,Bengaluru,iOS,QR,0,normal,0
TXN006984,2026-01-01 05:21:00,USER0932,REC0389,1628.86,Bills,Chennai,Android,QR,0,normal,0
TXN005462,2026-01-01 05:50:00,USER0655,REC0468,355.13,Food,Mumbai,Android,App,0,normal,0
TXN004627,2026-01-01 06:31:00,USER0723,REC0006,836.03,Groceries,Delhi,Android,App,0,normal,0
TXN008630,2026-01-01 06:36:00,USER0172,REC0478,744.67,Groceries,Hyderabad,iOS,Collect Request,0,normal,0
TXN001913,2026-01-01 06:38:00,USER0802,REC0048,735.16,Food,Delhi,Android,QR,0,normal,0
TXN003191,2026-01-01 06:48:00,USER0772,REC0451,1140.51,Food,Chennai,Android,QR,0,normal,0
TXN004111,2026-01-01 06:48:00,USER0075,REC0382,217.95,Food,Hyderabad,Android,Collect Request,0,normal,0
TXN001739,2026-01-01 07:00:00,USER0216,REC0388,712.3,Food,Mumbai,iOS,App,0,normal,0
TXN006414,2026-01-01 07:48:00,USER0398,REC0196,164.96,Transfer,Delhi,iOS,App,0,normal,0
TXN007067,2026-01-01 07:50:00,USER0974,REC0494,865.55,Shopping,Bengaluru,Android,App,0,normal,0
TXN005170,2026-01-01 08:24:00,USER0555,REC0319,565.47,Transfer,Mumbai,Android,QR,0,normal,0
TXN007212,2026-01-01 08:38:00,USER0419,REC0328,1122.13,Groceries,Chennai,Android,App,0,normal,0
TXN001622,2026-01-01 08:39:00,USER0514,REC0195,536.43,Food,Delhi,Android,App,0,normal,0
TXN007205,2026-01-01 09:04:00,USER0202,REC0484,524.56,Shopping,Bengaluru,iOS,QR,0,normal,0
TXN003234,2026-01-01 09:18:00,USER0412,REC0169,357.96,Groceries,Bengaluru,Android,App,0,normal,0
TXN006358,2026-01-01 09:25:00,USER0540,REC0118,532.16,Travel,Bengaluru,iOS,QR,0,normal,0
TXN001294,2026-01-01 09:43:00,USER0581,REC0249,241.68,Bills,Chennai,Android,QR,0,normal,0
TXN006057,2026-01-01 09:52:00,USER0334,REC0101,739.27,Food,Mumbai,Android,App,0,normal,0
TXN002628,2026-01-01 09:58:00,USER0153,REC0088,1025.12,Shopping,Chennai,iOS,QR,0,normal,0
TXN006229,2026-01-01 10:05:00,USER0930,REC0253,724.9,Transfer,Hyderabad,Android,App,0,normal,0
TXN001237,2026-01-01 10:10:00,USER0971,REC0237,341.68,Shopping,Mumbai,Android,App,0,normal,0
TXN002789,2026-01-01 10:13:00,USER0378,REC0410,1086.2,Transfer,Delhi,iOS,App,0,normal,0
TXN001550,2026-01-01 10:14:00,USER0224,REC0075,288.65,Transfer,Delhi,Android,App,0,normal,0
TXN004598,2026-01-01 10:29:00,USER0908,REC0102,104.89,Bills,Mumbai,iOS,Collect Request,0,normal,0
TXN000773,2026-01-01 10:33:00,USER0662,REC0054,992.27,Transfer,Hyderabad,iOS,QR,0,normal,0
TXN006076,2026-01-01 10:46:00,USER0493,REC0311,426.11,Shopping,Chennai,Android,Collect Request,0,normal,0
TXN005297,2026-01-01 10:47:00,USER0979,REC0025,339.36,Bills,Bengaluru,Android,QR,0,normal,0
TXN007735,2026-01-01 11:00:00,USER0840,REC0190,661.5,Shopping,Delhi,Android,QR,0,normal,0
TXN009381,2026-01-01 11:15:00,USER0058,REC0228,565.36,Shopping,Chennai,Android,QR,0,normal,0
TXN000381,2026-01-01 11:27:00,USER0745,REC0057,637.34,Travel,Mumbai,iOS,App,0,normal,0
TXN003217,2026-01-01 11:32:00,USER0546,REC0399,1533.93,Groceries,Hyderabad,Android,QR,0,normal,0
TXN000846,2026-01-01 11:43:00,USER0786,REC0212,477.65,Transfer,Hyderabad,Android,QR,0,normal,0
TXN002646,2026-01-01 11:49:00,USER0866,REC0256,1466.95,Groceries,Delhi,Android,App,0,normal,0
TXN000845,2026-01-01 11:49:00,USER0764,REC0026,970.5,Groceries,Chennai,Android,QR,0,normal,0
TXN008871,2026-01-01 12:13:00,USER0193,REC0495,2259.7,Groceries,Hyderabad,Android,Collect Request,0,normal,1
TXN004055,2026-01-01 12:39:00,USER0080,REC0110,437.94,Transfer,Pune,Android,App,0,normal,0
TXN008989,2026-01-01 13:02:00,USER0667,REC0436,298.01,Shopping,Chennai,Android,QR,0,normal,0
TXN009550,2026-01-01 13:05:00,USER0778,REC0416,513.36,Groceries,Mumbai,Android,App,0,normal,0
TXN009691,2026-01-01 13:16:00,USER0570,REC0042,247.37,Food,Pune,Android,App,0,normal,0
TXN008312,2026-01-01 13:39:00,USER0915,REC0391,280.65,Groceries,Bengaluru,Android,QR,0,normal,0
TXN004885,2026-01-01 13:49:00,USER0854,REC0231,642.98,Food,Mumbai,Android,QR,0,normal,0
TXN002401,2026-01-01 13:57:00,USER0052,REC0444,127.46,Groceries,Hyderabad,Android,QR,0,normal,0
TXN000465,2026-01-01 14:03:00,USER0206,REC0212,1799.5,Bills,Delhi,iOS,App,0,normal,0
TXN005719,2026-01-01 14:18:00,USER0047,REC0093,548.1,Food,Hyderabad,Android,App,0,normal,0
TXN006926,2026-01-01 14:30:00,USER0659,REC0282,489.47,Shopping,Mumbai,Android,QR,0,normal,0
TXN009982,2026-01-01 14:51:00,USER0292,REC0456,994.46,Travel,Bengaluru,Android,QR,0,normal,0
TXN000575,2026-01-01 15:17:00,USER0608,REC0095,530.62,Groceries,Mumbai,Android,App,0,normal,0
TXN006878,2026-01-01 15:18:00,USER0938,REC0164,475.93,Transfer,Hyderabad,Android,QR,0,normal,0
TXN006155,2026-01-01 15:20:00,USER0807,REC0363,351.02,Groceries,Bengaluru,Android,App,0,normal,0
TXN001190,2026-01-01 15:47:00,USER0570,REC0402,830.84,Bills,Bengaluru,iOS,QR,0,normal,0
TXN008562,2026-01-01 15:52:00,USER0950,REC0226,343.11,Shopping,Pune,Android,QR,0,normal,0
TXN000104,2026-01-01 15:54:00,USER0422,REC0012,739.66,Groceries,Hyderabad,Android,QR,0,normal,0
TXN007989,2026-01-01 16:01:00,USER0041,REC0500,641.93,Travel,Bengaluru,Android,QR,0,normal,0
TXN005844,2026-01-01 16:09:00,USER0395,REC0463,527.78,Groceries,Delhi,Android,QR,0,normal,0
TXN002202,2026-01-01 16:12:00,USER0553,REC0430,163.17,Transfer,Hyderabad,Android,App,0,normal,0
TXN004361,2026-01-01 16:22:00,USER0447,REC0115,1003.83,Food,Bengaluru,Android,App,0,normal,0
TXN000707,2026-01-01 16:57:00,USER0627,REC0431,1041.47,Groceries,Chennai,Android,App,0,normal,0
TXN009009,2026-01-01 17:08:00,USER0931,REC0086,339.97,Food,Mumbai,Android,Collect Request,0,normal,0
TXN003399,2026-01-01 17:11:00,USER0573,REC0152,489.35,Bills,Mumbai,Android,QR,0,normal,0
TXN004689,2026-01-01 17:13:00,USER0360,REC0290,113.41,Shopping,Bengaluru,Android,App,0,normal,0
TXN007727,2026-01-01 17:24:00,USER0402,REC0417,248.06,Shopping,Hyderabad,Android,App,0,normal,0
TXN001279,2026-01-01 17:32:00,USER0182,REC0451,654.16,Travel,Bengaluru,Android,App,0,normal,0
TXN004131,2026-01-01 18:06:00,USER0126,REC0103,206.13,Food,Chennai,Android,App,0,normal,0
TXN001175,2026-01-01 18:27:00,USER0070,REC0065,186.17,Transfer,Mumbai,Android,App,0,normal,0
TXN001807,2026-01-01 18:32:00,USER0783,REC0184,385.42,Bills,Delhi,Android,QR,0,normal,0
TXN004768,2026-01-01 18:36:00,USER0063,REC0162,701.29,Travel,Chennai,iOS,App,0,normal,0
TXN003725,2026-01-01 19:03:00,USER0371,REC0009,653.09,Shopping,Pune,Android,App,0,normal,0
TXN007969,2026-01-01 19:21:00,USER0499,REC0134,529.6,Groceries,Pune,Android,App,0,normal,0
TXN009932,2026-01-01 19:57:00,USER0011,REC0365,720.25,Food,Hyderabad,iOS,QR,0,normal,0
TXN001532,2026-01-01 20:00:00,USER0414,REC0148,495.85,Bills,Mumbai,Android,QR,0,normal,0
TXN007585,2026-01-01 20:09:00,USER0176,REC0339,375.38,Travel,Mumbai,Android,App,0,normal,0
TXN002443,2026-01-01 20:23:00,USER0915,REC0187,1239.39,Food,Chennai,Android,QR,0,normal,0
TXN009125,2026-01-01 20:39:00,USER0534,REC0347,670.07,Groceries,Pune,Android,Collect Request,0,normal,0
TXN005603,2026-01-01 20:47:00,USER0642,REC0089,891.6,Shopping,Mumbai,Android,QR,0,normal,0
TXN006591,2026-01-01 21:48:00,USER0793,REC0467,638.83,Food,Delhi,Android,QR,0,normal,0
TXN003799,2026-01-01 21:49:00,USER0521,REC0408,1575.83,Groceries,Delhi,Android,QR,0,normal,0
TXN006754,2026-01-01 21:52:00,USER0724,REC0103,633.6,Shopping,Hyderabad,iOS,Collect Request,0,normal,0
TXN001763,2026-01-01 22:00:00,USER0215,REC0119,176.44,Bills,Mumbai,Android,App,0,normal,0
TXN001070,2026-01-01 23:10:00,USER0840,REC0079,1333.56,Shopping,Hyderabad,Android,QR,0,normal,0
TXN009676,2026-01-01 23:13:00,USER0472,REC0165,447.22,Transfer,Mumbai,Android,App,0,normal,0
TXN004788,2026-01-01 23:37:00,USER0739,REC0028,223.71,Food,Mumbai,Android,App,0,normal,0
TXN003822,2026-01-01 23:47:00,USER0748,REC0447,729.06,Bills,Hyderabad,Android,QR,0,normal,0
TXN005880,2026-01-02 00:09:00,USER0623,REC0175,241.72,Bills,Hyderabad,Android,QR,0,normal,0
TXN006151,2026-01-02 00:39:00,USER0097,REC0353,235.57,Bills,Pune,Android,App,0,normal,0
TXN009933,2026-01-02 01:23:00,USER0078,REC0489,278.96,Shopping,Hyderabad,iOS,QR,0,normal,0
TXN005916,2026-01-02 01:30:00,USER0257,REC0204,286.05,Groceries,Hyderabad,Android,QR,0,normal,0
TXN006747,2026-01-02 02:01:00,USER0888,REC0381,499.03,Travel,Hyderabad,iOS,QR,0,normal,0
TXN003904,2026-01-02 02:01:00,USER0968,REC0222,1499.37,Bills,Delhi,Android,Collect Request,0,normal,0
TXN004563,2026-01-02 02:04:00,USER0051,REC0430,337.73,Travel,Bengaluru,Android,Collect Request,1,late_night_payment,0
TXN000801,2026-01-02 02:07:00,USER0517,REC0290,1038.84,Transfer,Bengaluru,Android,QR,0,normal,0
TXN005438,2026-01-02 02:13:00,USER0770,REC0200,629.44,Bills,Chennai,Android,App,0,normal,0
TXN008610,2026-01-02 02:23:00,USER0014,REC0466,819.68,Transfer,Hyderabad,iOS,QR,0,normal,0
TXN004393,2026-01-02 02:27:00,USER0616,REC0280,1032.42,Bills,Chennai,Android,App,0,normal,0
TXN000790,2026-01-02 02:34:00,USER0434,REC0324,203.95,Groceries,Mumbai,Android,QR,0,normal,0
TXN005078,2026-01-02 02:46:00,USER0130,REC0428,276.5,Food,Hyderabad,Android,App,0,normal,0
TXN006642,2026-01-02 02:55:00,USER0037,REC0099,304.7,Groceries,Delhi,Android,App,0,normal,0
TXN001682,2026-01-02 02:56:00,USER0377,REC0388,1373.62,Transfer,Pune,Android,QR,0,normal,0
TXN009199,2026-01-02 03:12:00,USER0550,REC0297,440.7,Bills,Pune,Android,QR,0,normal,0
TXN007517,2026-01-02 03:23:00,USER0160,REC0390,1438.43,Transfer,Mumbai,Android,App,0,normal,0
TXN003788,2026-01-02 04:02:00,USER0211,REC0400,305.06,Shopping,Mumbai,Android,App,1,late_night_payment,0
TXN006436,2026-01-02 04:03:00,USER0574,REC0291,40090.63,Bills,Delhi,Android,App,1,unusually_high_amount,1
TXN007489,2026-01-02 04:12:00,USER0858,REC0425,1290.36,Travel,Hyderabad,Android,App,1,late_night_payment,0
TXN007581,2026-01-02 04:57:00,USER0803,REC0465,355.26,Food,Chennai,Android,App,0,normal,0
TXN004046,2026-01-02 05:45:00,USER0338,REC0162,1021.73,Transfer,Mumbai,Android,App,0,normal,0
TXN001121,2026-01-02 06:02:00,USER0260,REC0225,809.88,Transfer,Hyderabad,Android,QR,0,normal,0
TXN000410,2026-01-02 06:06:00,USER0171,REC0351,613.59,Groceries,Mumbai,Android,Collect Request,0,normal,0
TXN008836,2026-01-02 06:10:00,USER0737,REC0371,404.39,Groceries,Mumbai,Android,Collect Request,0,normal,0
TXN008444,2026-01-02 06:26:00,USER0328,REC0159,580.44,Groceries,Bengaluru,iOS,QR,0,normal,0
TXN004230,2026-01-02 06:30:00,USER0807,REC0316,460.03,Bills,Pune,Android,App,0,normal,0
TXN007992,2026-01-02 06:30:00,USER0934,REC0123,417.61,Groceries,Hyderabad,iOS,QR,0,normal,0
TXN008619,2026-01-02 06:50:00,USER0923,REC0474,484.04,Food,Mumbai,Android,App,0,normal,0
TXN006527,2026-01-02 07:09:00,USER0420,REC0267,225.66,Bills,Mumbai,Android,App,0,normal,0
TXN003103,2026-01-02 07:10:00,USER0357,REC0018,683.06,Groceries,Pune,Android,QR,0,normal,0
TXN000839,2026-01-02 07:28:00,USER0045,REC0172,576.1,Food,Pune,Android,QR,0,normal,0
TXN001038,2026-01-02 07:42:00,USER0146,REC0298,743.98,Food,Chennai,Android,App,0,normal,0
TXN004931,2026-01-02 08:23:00,USER0353,REC0310,168.7,Transfer,Bengaluru,Android,App,0,normal,0
TXN007227,2026-01-02 09:10:00,USER0861,REC0147,793.24,Shopping,Pune,Android,App,0,normal,0
TXN009681,2026-01-02 09:11:00,USER0465,REC0195,772.48,Food,Pune,Android,App,0,normal,0
TXN007599,2026-01-02 09:13:00,USER0300,REC0158,1846.82,Food,Delhi,Android,QR,0,normal,1
TXN006471,2026-01-02 09:21:00,USER0008,REC0457,870.1,Groceries,Bengaluru,Android,App,0,normal,0
TXN007602,2026-01-02 09:39:00,USER0178,REC0159,671.45,Food,Delhi,Android,QR,0,normal,0
TXN000889,2026-01-02 10:01:00,USER0283,REC0474,608.4,Transfer,Pune,iOS,App,0,normal,0
TXN003136,2026-01-02 10:08:00,USER0502,REC0367,653.82,Food,Delhi,Android,App,0,normal,0
TXN005142,2026-01-02 10:08:00,USER0651,REC0340,927.16,Travel,Delhi,iOS,App,0,normal,0
TXN007721,2026-01-02 10:21:00,USER0561,REC0051,1305.43,Transfer,Delhi,iOS,App,0,normal,0
TXN009632,2026-01-02 10:22:00,USER0175,REC0226,1025.07,Shopping,Pune,Android,QR,0,normal,0
TXN008509,2026-01-02 10:31:00,USER0322,REC0022,2043.47,Food,Chennai,Android,QR,0,normal,1
TXN007135,2026-01-02 10:33:00,USER0918,REC0052,1890.59,Bills,Mumbai,Android,App,0,normal,1
TXN009285,2026-01-02 10:39:00,USER0880,REC0230,4788.07,Groceries,Hyderabad,iOS,App,0,normal,1
TXN006281,2026-01-02 10:47:00,USER0165,REC0154,175.67,Food,Bengaluru,Android,App,0,normal,0
TXN004104,2026-01-02 11:03:00,USER0222,REC0071,524.92,Shopping,Bengaluru,iOS,QR,0,normal,0
TXN008991,2026-01-02 11:05:00,USER0149,REC0217,436.62,Shopping,Bengaluru,iOS,App,0,normal,0
TXN006142,2026-01-02 11:06:00,USER0425,REC0331,398.17,Transfer,Delhi,Android,QR,0,normal,0
TXN005068,2026-01-02 11:36:00,USER0046,REC0236,1948.89,Bills,Chennai,Android,App,0,normal,1
TXN007064,2026-01-02 11:37:00,USER0039,REC0038,603.23,Travel,Hyderabad,Android,QR,0,normal,0
TXN001624,2026-01-02 11:48:00,USER0075,REC0293,299.14,Food,Bengaluru,Android,QR,0,normal,0
TXN009547,2026-01-02 12:16:00,USER0366,REC0001,187.49,Travel,Mumbai,Android,QR,0,normal,0
TXN009584,2026-01-02 12:20:00,USER0121,REC0390,622.5,Bills,Chennai,Android,QR,0,normal,0
TXN004505,2026-01-02 12:21:00,USER0293,REC0437,1564.34,Food,Pune,Android,App,0,normal,0
TXN005745,2026-01-02 12:22:00,USER1000,REC0369,436.95,Travel,Delhi,Android,QR,0,normal,0
TXN003505,2026-01-02 13:22:00,USER0029,REC0363,821.31,Bills,Mumbai,Android,App,0,normal,0
TXN002975,2026-01-02 13:25:00,USER0014,REC0496,166.93,Groceries,Bengaluru,iOS,Collect Request,0,normal,0
TXN001366,2026-01-02 14:09:00,USER0174,REC0408,673.61,Shopping,Mumbai,Android,QR,0,normal,0
TXN009483,2026-01-02 14:15:00,USER0460,REC0073,587.19,Bills,Hyderabad,Android,App,0,normal,0
TXN000478,2026-01-02 14:31:00,USER0438,REC0180,724.82,Food,Hyderabad,Android,QR,0,normal,0
TXN003898,2026-01-02 14:34:00,USER0716,REC0262,1634.83,Transfer,Delhi,Android,App,0,normal,0
TXN008655,2026-01-02 14:35:00,USER0959,REC0164,113.84,Shopping,Hyderabad,Android,QR,0,normal,0
TXN008683,2026-01-02 14:36:00,USER0847,REC0362,690.97,Shopping,Delhi,Android,QR,0,normal,0
TXN000415,2026-01-02 14:47:00,USER0334,REC0212,630.36,Shopping,Chennai,Android,App,0,normal,0
TXN001652,2026-01-02 15:13:00,USER0159,REC0325,411.4,Travel,Pune,Android,App,0,normal,0
TXN008674,2026-01-02 15:22:00,USER0421,REC0215,426.3,Shopping,Pune,Android,QR,0,normal,0
TXN003858,2026-01-02 15:49:00,USER0309,REC0359,341.83,Transfer,Delhi,iOS,App,0,normal,0
TXN004117,2026-01-02 16:13:00,USER0945,REC0482,179.36,Groceries,Mumbai,iOS,QR,0,normal,0
TXN004527,2026-01-02 16:43:00,USER0210,REC0198,650.51,Food,Pune,Android,QR,0,normal,0
TXN009002,2026-01-02 16:43:00,USER0691,REC0052,936.57,Food,Chennai,Android,QR,0,normal,0
TXN001594,2026-01-02 17:06:00,USER0520,REC0092,472.01,Food,Hyderabad,Android,App,0,normal,0
TXN008945,2026-01-02 17:25:00,USER0157,REC0259,391.8,Bills,Delhi,iOS,App,0,normal,0
TXN008334,2026-01-02 17:55:00,USER0613,REC0277,445.75,Travel,Delhi,Android,App,0,normal,0
TXN008806,2026-01-02 17:57:00,USER0526,REC0450,818.22,Bills,Mumbai,Android,QR,0,normal,0
TXN000233,2026-01-02 18:10:00,USER0181,REC0325,1014.13,Bills,Bengaluru,Android,App,0,normal,0
TXN002090,2026-01-02 18:41:00,USER0529,REC0306,667.49,Bills,Chennai,iOS,App,0,normal,0
TXN009935,2026-01-02 18:59:00,USER0657,REC0075,266.36,Bills,Pune,iOS,QR,0,normal,0
TXN007758,2026-01-02 19:09:00,USER0172,REC0391,1399.09,Shopping,Pune,Android,App,0,normal,0
TXN007610,2026-01-02 19:30:00,USER0782,REC0297,2336.39,Travel,Delhi,iOS,App,0,normal,1
TXN005746,2026-01-02 19:45:00,USER0262,REC0013,1446.49,Bills,Hyderabad,Android,QR,0,normal,0
TXN008900,2026-01-02 19:45:00,USER0348,REC0366,885.99,Groceries,Bengaluru,Android,Collect Request,0,normal,0
TXN008637,2026-01-02 19:49:00,USER0950,REC0497,2342.22,Groceries,Mumbai,Android,App,0,normal,1
TXN008272,2026-01-02 19:59:00,USER0696,REC0241,430.63,Groceries,Hyderabad,iOS,Collect Request,0,normal,0
TXN009073,2026-01-02 20:08:00,USER0461,REC0162,1280.24,Transfer,Chennai,iOS,QR,0,normal,0
TXN006918,2026-01-02 20:09:00,USER0656,REC0292,221.55,Groceries,Chennai,iOS,App,0,normal,0
TXN001529,2026-01-02 20:24:00,USER0822,REC0023,837.75,Shopping,Chennai,Android,App,0,normal,0
TXN006893,2026-01-02 20:41:00,USER0128,REC0023,450.45,Bills,Delhi,Android,App,0,normal,0
TXN008496,2026-01-02 20:53:00,USER0365,REC0206,2033.19,Groceries,Mumbai,Android,QR,0,normal,1
TXN002171,2026-01-02 21:09:00,USER0688,REC0442,1181.83,Transfer,Mumbai,Android,Collect Request,0,normal,0
TXN005035,2026-01-02 21:17:00,USER0467,REC0078,837.07,Travel,Delhi,Android,App,0,normal,0
