transaction_id,timestamp,sender_id,receiver_id,amount,merchant_category,location,device_type,upi_channel,anomaly_type,risk_flag
TXN005719,2026-01-01 02:52:38,USER0461,REC0127,42.08,Entertainment,Delhi,iOS,App,none,0
TXN009550,2026-01-01 04:00:49,USER0358,REC0295,65.05,Groceries,Pune,Android,App,none,0
TXN006878,2026-01-01 06:12:31,USER0578,REC0254,257.42,Groceries,Bengaluru,Android,App,none,0
TXN007212,2026-01-01 07:02:07,USER0243,REC0285,404.81,Shopping,Delhi,Android,App,none,0
TXN000465,2026-01-01 07:13:40,USER0146,REC0154,319.63,Groceries,Mumbai,iOS,QR,none,0
TXN007969,2026-01-01 07:15:30,USER0725,REC0227,114.45,Entertainment,Hyderabad,Android,Collect Request,none,0
TXN008562,2026-01-01 07:27:12,USER0137,REC0234,111.69,Shopping,Bengaluru,Android,App,none,0
TXN004689,2026-01-01 08:05:08,USER0960,REC0362,338.4,Food & Dining,Chennai,Android,QR,none,0
TXN004131,2026-01-01 08:26:06,USER0825,REC0288,709.26,Groceries,Chennai,iOS,QR,none,0
TXN009676,2026-01-01 08:28:49,USER0366,REC0064,63.13,Food & Dining,Mumbai,Android,App,none,0
TXN007754,2026-01-01 09:03:50,USER0953,REC0102,212.68,Utilities & Bills,Mumbai,Android,App,none,0
TXN005083,2026-01-01 09:05:11,USER0440,REC0441,339.61,Shopping,Kolkata,Android,QR,none,0
TXN005170,2026-01-01 09:10:01,USER0130,REC0089,95.81,Groceries,Pune,Android,QR,none,0
TXN003674,2026-01-01 09:30:34,USER0496,REC0118,741.78,Food & Dining,Bengaluru,Android,QR,none,0
TXN007067,2026-01-01 09:32:13,USER0938,REC0075,1500.07,Shopping,Hyderabad,iOS,App,none,0
TXN001070,2026-01-01 09:46:26,USER0921,REC0356,654.69,Entertainment,Bengaluru,Android,App,none,0
TXN007363,2026-01-01 09:50:33,USER0104,REC0331,54.33,Food & Dining,Chennai,Android,App,none,0
TXN002316,2026-01-01 09:53:55,USER0163,REC0188,299.71,Utilities & Bills,Delhi,Android,App,none,0
TXN003799,2026-01-01 09:53:59,USER0413,REC0342,1128.78,Travel,Delhi,Android,App,none,0
TXN000773,2026-01-01 10:00:15,USER0556,REC0056,46044.5,Food & Dining,Pune,Android,App,high_value,1
TXN000381,2026-01-01 10:14:05,USER0548,REC0438,68.81,Shopping,Delhi,Android,QR,none,0
TXN009932,2026-01-01 10:38:43,USER0055,REC0093,42.85,Groceries,Pune,Android,QR,none,0
TXN004885,2026-01-01 10:39:16,USER0403,REC0177,272.42,Shopping,Hyderabad,Android,App,none,0
TXN006057,2026-01-01 10:43:59,USER0624,REC0055,600.96,Groceries,Delhi,Android,App,none,0
TXN006155,2026-01-01 10:51:27,USER0406,REC0444,762.54,Groceries,Pune,Android,App,none,0
TXN006984,2026-01-01 10:53:18,USER0266,REC0117,58.03,Food & Dining,Hyderabad,Android,QR,none,0
TXN004627,2026-01-01 10:54:39,USER0907,REC0136,70.0,Shopping,Mumbai,iOS,App,none,0
TXN002646,2026-01-01 11:12:38,USER0917,REC0022,178.18,Food & Dining,Kolkata,iOS,App,none,0
TXN001550,2026-01-01 11:27:46,USER0334,REC0243,351.41,Travel,Hyderabad,iOS,App,none,0
TXN001622,2026-01-01 11:39:40,USER0378,REC0076,153.26,Travel,Hyderabad,Android,App,none,0
TXN007006,2026-01-01 11:42:00,USER0119,REC0072,570.71,Food & Dining,Hyderabad,Android,App,none,0
TXN004361,2026-01-01 11:45:16,USER0135,REC0111,102.74,Food & Dining,Chennai,Android,App,none,0
TXN004788,2026-01-01 12:01:09,USER0898,REC0374,270.14,Groceries,Kolkata,Android,App,none,0
TXN000575,2026-01-01 12:09:45,USER0062,REC0103,513.18,Utilities & Bills,Mumbai,Android,QR,none,0
TXN004598,2026-01-01 12:16:13,USER0127,REC0096,93.43,Entertainment,Pune,Android,QR,none,0
TXN006926,2026-01-01 12:18:17,USER0959,REC0367,235.1,Groceries,Pune,Android,App,none,0
TXN008871,2026-01-01 12:20:20,USER0434,REC0343,336.59,Food & Dining,Hyderabad,Android,App,none,0
TXN008838,2026-01-01 12:20:36,USER0993,REC0303,311.81,Travel,Pune,Android,App,none,0
TXN009106,2026-01-01 12:34:56,USER0466,REC0076,408.75,Food & Dining,Delhi,Android,App,none,0
TXN006076,2026-01-01 12:37:38,USER0869,REC0500,223.9,Food & Dining,Pune,iOS,App,none,0
TXN002202,2026-01-01 12:41:06,USER0612,REC0210,72.21,Groceries,Mumbai,Android,App,none,0
TXN001237,2026-01-01 13:09:53,USER0606,REC0335,256.88,Groceries,Delhi,Android,App,none,0
TXN003822,2026-01-01 13:27:38,USER0223,REC0222,30.42,Groceries,Bengaluru,Android,App,none,0
TXN001175,2026-01-01 13:33:52,USER0349,REC0366,1026.27,Food & Dining,Delhi,Android,QR,none,0
TXN006521,2026-01-01 13:34:24,USER0694,REC0109,350.22,Groceries,Delhi,iOS,QR,none,0
TXN006591,2026-01-01 13:49:20,USER0629,REC0272,171.59,Food & Dining,Pune,Android,App,none,0
TXN008630,2026-01-01 14:26:39,USER0686,REC0093,53.62,Food & Dining,Kolkata,Android,App,none,0
TXN001482,2026-01-01 14:33:29,USER0279,REC0060,1248.89,Entertainment,Mumbai,Android,App,none,0
TXN000845,2026-01-01 14:35:17,USER0583,REC0211,244.57,Travel,Bengaluru,iOS,QR,none,0
TXN004691,2026-01-01 14:52:10,USER0606,REC0436,656.8,Groceries,Bengaluru,iOS,App,none,0
TXN002789,2026-01-01 15:01:21,USER0059,REC0194,293.74,Groceries,Delhi,iOS,QR,none,0
TXN001807,2026-01-01 15:01:39,USER0440,REC0258,49.06,Food & Dining,Delhi,Android,QR,none,0
TXN007205,2026-01-01 15:14:21,USER0611,REC0181,77.42,Utilities & Bills,Hyderabad,Android,QR,none,0
